node,cpu_mj,total_mj,latency_ms,volume_B,response_ms,throughput_bps,root_time_now
fd00::202:2:2:2,37,60,0,60,1,480000,20930
fd00::202:2:2:2,18,26,324,132,674,854,31500
fd00::202:2:2:2,18,26,264,204,334,1724,42000
fd00::202:2:2:2,18,26,344,276,484,1190,52500
fd00::202:2:2:2,18,26,354,348,424,1358,63070
fd00::202:2:2:2,18,26,154,420,504,1142,73570
fd00::202:2:2:2,18,26,94,492,234,2461,84140
fd00::202:2:2:2,18,26,174,564,1504,382,94710
fd00::202:2:2:2,18,26,254,636,394,1461,105210
fd00::202:2:2:2,18,26,894,708,1524,377,115710
fd00::202:2:2:2,18,27,1604,780,2374,242,126280
fd00::202:2:2:2,18,27,144,852,984,585,136780
fd00::202:2:2:2,18,26,3304,924,6314,91,147350
fd00::202:2:2:2,18,27,164,996,1564,368,157850
fd00::202:2:2:2,18,26,944,1068,1154,499,168350
fd00::202:2:2:2,18,27,394,1140,1094,526,178920
fd00::202:2:2:2,18,26,124,1212,2854,201,189420
fd00::202:2:2:2,18,27,204,1284,694,829,200002
fd00::202:2:2:2,18,26,157,1368,1697,395,212450
fd00::202:2:2:2,18,26,167,1440,4997,115,225120
fd00::202:2:2:2,18,26,174,1512,1714,336,232050
fd00::202:2:2:2,18,26,465,1584,2005,287,244300
fd00::202:2:2:2,18,26,404,1656,5374,107,255500
fd00::202:2:2:2,18,26,204,1728,3564,161,264390
fd00::202:2:2:2,18,26,214,1800,914,630,273700
fd00::202:2:2:2,18,26,154,1872,1834,314,284200
fd00::202:2:2:2,18,26,164,1944,2754,209,295610
fd00::202:2:2:2,18,27,594,2016,5424,106,305760
fd00::202:2:2:2,18,26,184,2088,4034,142,316050
fd00::202:2:2:2,18,26,194,2160,1244,463,326340
fd00::202:2:2:2,18,26,133,2232,3633,158,337680
fd00::202:2:2:2,18,26,144,2304,3924,146,347620
fd00::202:2:2:2,18,26,154,2376,2394,240,357910
fd00::202:2:2:2,18,26,1564,2448,4714,122,368480
fd00::202:2:2:2,18,26,174,2520,1994,288,379470
fd00::202:2:2:2,18,27,2214,2592,2704,213,389550
fd00::202:2:2:2,18,27,134,2736,6854,168,415520
fd00::202:2:2:2,18,27,155,2820,855,785,423010
fd00::202:2:2:2,18,26,374,2892,2754,209,432880
fd00::202:2:2:2,18,27,104,2964,3114,184,443240
fd00::202:2:2:2,18,26,114,3036,3264,176,453390
fd00::202:2:2:2,18,26,264,3108,3134,183,463680
fd00::202:2:2:2,18,26,274,3180,1604,359,477820
fd00::202:2:2:2,18,26,564,3252,5674,101,486360
fd00::202:2:2:2,18,26,224,3324,3444,167,494830
fd00::202:2:2:2,18,26,164,3396,1424,404,505470
fd00::202:2:2:2,18,27,177,3468,1577,365,515900
fd00::202:2:2:2,18,27,744,3540,2074,277,526470
fd00::202:2:2:2,18,26,264,3612,1104,521,538300
fd00::202:2:2:2,18,26,344,3684,1744,330,547890
fd00::202:2:2:2,18,26,285,3756,1125,512,558110
fd00::202:2:2:2,18,26,14,3828,1554,370,568540
fd00::202:2:2:2,18,26,22,3900,4012,143,579390
fd00::202:2:2:2,18,26,34,3972,3254,177,589610
fd00::202:2:2:2,18,26,54,4056,3274,205,604170
fd00::202:2:2:2,18,26,64,4128,3424,168,613970
fd00::202:2:2:2,18,26,74,4200,1544,373,621600
fd00::202:2:2:2,18,26,14,4272,1624,354,631750
fd00::202:2:2:2,18,27,24,4344,654,880,644280
fd00::202:2:2:2,18,26,34,4416,1504,382,654360
fd00::202:2:2:2,18,26,44,4488,1444,398,663320
fd00::202:2:2:2,18,27,54,4560,1664,346,674660
fd00::202:2:2:2,18,26,64,4632,2164,266,684600
fd00::202:2:2:2,18,27,214,4704,3784,152,694960
fd00::202:2:2:2,18,26,14,4776,3584,160,706020
fd00::202:2:2:2,18,26,24,4848,514,1120,716520
fd00::202:2:2:2,18,26,104,4920,1784,322,726530
fd00::202:2:2:2,18,27,44,4992,2844,202,737170
fd00::202:2:2:2,18,26,124,5064,2844,202,747600
fd00::202:2:2:2,18,26,134,5136,4194,137,758100
fd00::202:2:2:2,18,26,144,5208,2734,210,768670
fd00::202:2:2:2,18,27,84,5280,714,806,784420
fd00::202:2:2:2,18,26,234,5352,4504,127,789740
fd00::202:2:2:2,18,27,186,5436,606,1108,800660
fd00::202:2:2:2,18,27,124,5508,3484,165,813540
fd00::202:2:2:2,18,26,133,5580,2303,250,822360
fd00::202:2:2:2,18,27,144,5652,3714,155,833840
fd00::202:2:2:2,18,26,85,5724,3375,170,843710
fd00::202:2:2:2,18,26,94,5796,934,616,852880
fd00::202:2:2:2,18,26,104,5868,4164,138,864220
fd00::202:2:2:2,18,27,394,5940,3054,188,873950
fd00::202:2:2:2,18,26,404,6012,754,763,887460
fd00::202:2:2:2,18,27,344,6084,2094,275,895300
fd00::202:2:2:2,18,26,144,6156,4484,128,905800
fd00::202:2:2:2,18,27,84,6228,6664,86,917280
fd00::202:2:2:2,18,27,1844,6300,2054,280,926660
fd00::202:2:2:2,18,27,107,6372,3747,153,937160
fd00::202:2:2:2,18,26,187,6444,537,1072,947660
fd00::202:2:2:2,18,26,194,6516,1594,361,958230
fd00::202:2:2:2,18,27,134,6588,344,1674,968940
fd00::202:2:2:2,18,26,3714,6660,6164,93,979510
fd00::202:2:2:2,18,26,784,6732,1064,541,989800
fd00::202:2:2:2,18,26,174,6816,1634,411,1007300
fd00::202:2:2:2,18,26,324,6888,6484,88,1016750
fd00::202:2:2:2,18,27,324,6948,6484,74,1021790
fd00::202:2:2:2,18,27,67,7032,4057,165,1034180
fd00::202:2:2:2,18,27,564,7104,3504,164,1043560
fd00::202:2:2:2,18,27,924,7176,3794,151,1053850
fd00::202:2:2:2,18,26,94,7248,5484,105,1066170
fd00::202:2:2:2,18,27,594,7320,4094,140,1074150
fd00::202:2:2:2,18,27,3334,7392,3684,156,1084580
fd00::202:2:2:2,18,26,3334,7452,3684,130,1096550
fd00::202:2:2:2,18,26,1396,7536,1676,400,1105650
fd00::202:2:2:2,18,26,1474,7608,1964,293,1116920
fd00::202:2:2:2,18,27,643,7680,2813,204,1126720
fd00::202:2:2:2,18,27,934,7752,1704,338,1137220
fd00::202:2:2:2,18,26,737,7824,4937,116,1147790
fd00::202:2:2:2,18,26,254,7896,2984,193,1158290
fd00::202:2:2:2,18,27,1454,7968,2714,212,1168790
fd00::202:2:2:2,18,26,344,8040,3844,149,1179430
fd00::202:2:2:2,18,26,494,8112,2314,248,1189860
fd00::202:2:2:2,18,26,234,8196,4434,151,1204490
fd00::202:2:2:2,18,26,244,8268,804,716,1212190
fd00::202:2:2:2,18,26,254,8340,674,854,1222690
fd00::202:2:2:2,18,27,264,8412,5304,108,1235430
fd00::202:2:2:2,18,27,274,8484,5454,105,1245720
fd00::202:2:2:2,18,26,284,8556,3854,149,1254120
fd00::202:2:2:2,18,27,224,8628,2394,240,1263570
fd00::202:2:2:2,18,26,164,8700,1494,385,1274140
fd00::202:2:2:2,18,26,244,8772,3744,153,1285130
fd00::202:2:2:2,18,26,604,8844,2984,193,1295210
fd00::202:2:2:2,18,26,334,8916,3344,172,1308510
fd00::202:2:2:2,18,26,274,8988,904,637,1316420
fd00::202:2:2:2,18,26,494,9060,2174,264,1326850
fd00::202:2:2:2,18,26,1064,9132,1484,388,1337630
fd00::202:2:2:2,18,26,95,9204,6255,92,1347850
fd00::202:2:2:2,18,26,244,9276,3394,169,1358630
fd00::202:2:2:2,18,27,254,9348,2004,287,1368920
fd00::202:2:2:2,18,26,404,9420,4114,140,1379420
fd00::202:2:2:2,18,26,274,9492,3704,155,1390550
fd00::202:2:2:2,18,27,224,9576,3514,191,1403570
fd00::202:2:2:2,18,26,234,9648,7584,75,1417640
fd00::202:2:2:2,18,26,734,9720,3324,173,1423380
fd00::202:2:2:2,18,27,734,9780,3324,144,1432340
fd00::202:2:2:2,18,27,264,9864,1244,540,1442630
fd00::202:2:2:2,18,26,555,9936,2515,229,1453410
fd00::202:2:2:2,18,27,2524,10008,4204,137,1464260
fd00::202:2:2:2,18,26,14,10080,6524,88,1476580
fd00::202:2:2:2,18,26,307,10152,1007,571,1485680
fd00::202:2:2:2,18,26,174,10224,3534,162,1497860
fd00::202:2:2:2,18,26,253,10296,3333,172,1505840
fd00::202:2:2:2,18,27,406,10368,2996,192,1516340
fd00::202:2:2:2,18,26,204,10440,4264,135,1531670
fd00::202:2:2:2,18,26,284,10512,2174,264,1537410
fd00::202:2:2:2,18,26,284,10572,2174,220,1549240
fd00::202:2:2:2,18,26,284,10632,2174,220,1558480
fd00::202:2:2:2,18,26,16545,10704,16615,34,1572760
fd00::202:2:2:2,18,26,17885,10776,22015,26,1582070
fd00::202:2:2:2,18,26,18174,10848,18314,31,1591380
fd00::202:2:2:2,568,2826,594,11352,29804,135,1916530
fd00::202:2:2:2,18,26,324,11424,884,651,1927240
fd00::202:2:2:2,18,26,135,11568,7625,151,1948100
fd00::202:2:2:2,18,26,494,11640,3084,186,1958670
fd00::202:2:2:2,18,26,155,11712,2395,240,1969170
fd00::202:2:2:2,18,26,164,11784,2684,214,1979740
fd00::202:2:2:2,18,26,184,11868,1024,656,1991080
fd00::202:2:2:2,18,26,403,11940,1024,562,2006970
fd00::202:2:2:2,18,26,18544,13272,18964,561,2801260
fd00::202:2:2:2,18,26,94,13368,2334,329,2812390
fd00::202:2:2:2,18,26,594,13440,2064,279,2822890
fd00::202:2:2:2,18,26,594,13500,2064,232,2835840
fd00::202:2:2:2,18,26,5295,13572,6415,89,2843260
fd00::202:2:2:2,18,26,5295,13632,6415,74,2854460
fd00::202:2:2:2,18,26,15455,13704,6415,89,2869370
fd00::202:2:2:2,94,139,22075,13812,18424,46,2924180
fd00::202:2:2:2,18,26,31814,13884,18424,31,2928870
fd00::202:2:2:2,18,27,34624,13956,35674,16,2942800
fd00::202:2:2:2,151,225,235,14160,4085,399,3034920
fd00::202:2:2:2,18,26,235,14220,4085,117,3035550
fd00::202:2:2:2,18,26,7945,14292,8435,68,3044580
fd00::202:2:2:2,18,25,7184,14364,9494,60,3054380
fd00::202:2:2:2,303,781,434,14628,6244,338,3227770
