node,cpu_mj,total_mj,latency_ms,volume_B,response_ms,throughput_bps,root_time_now
fd00::202:2:2:2,37,60,0,60,1,480000,20930
fd00::202:2:2:2,18,26,44,132,254,2267,31500
fd00::202:2:2:2,18,26,54,204,404,1425,42000
fd00::202:2:2:2,18,26,64,276,274,2102,52500
fd00::202:2:2:2,18,26,74,348,494,1165,63070
fd00::202:2:2:2,18,26,14,420,294,1959,73570
fd00::202:2:2:2,18,26,24,492,1354,425,84140
fd00::202:2:2:2,18,26,34,564,594,969,94640
fd00::202:2:2:2,18,26,44,636,674,854,105210
fd00::202:2:2:2,18,26,54,708,754,763,115710
fd00::202:2:2:2,18,26,64,780,1394,413,126490
fd00::202:2:2:2,18,26,77,852,427,1348,136780
fd00::202:2:2:2,18,26,14,924,1414,407,147280
fd00::202:2:2:2,18,26,24,996,304,1894,157850
fd00::202:2:2:2,18,26,34,1068,1014,568,168350
fd00::202:2:2:2,18,26,44,1140,674,854,178920
fd00::202:2:2:2,18,26,54,1212,544,1058,189420
fd00::202:2:2:2,18,26,694,1284,2864,201,201880
fd00::202:2:2:2,18,26,14,1368,644,1043,210700
fd00::202:2:2:2,18,26,24,1440,794,725,221060
fd00::202:2:2:2,18,26,34,1512,944,610,231560
fd00::202:2:2:2,18,26,44,1584,814,707,242060
fd00::202:2:2:2,18,26,54,1656,824,699,252630
fd00::202:2:2:2,18,25,64,1728,1184,486,263130
fd00::202:2:2:2,18,26,74,1800,704,818,273700
fd00::202:2:2:2,18,26,14,1872,2534,227,284200
fd00::202:2:2:2,18,26,24,1944,1074,536,294770
fd00::202:2:2:2,18,26,34,2016,1154,499,305270
fd00::202:2:2:2,18,26,44,2088,1374,419,315840
fd00::202:2:2:2,18,26,54,2160,334,1724,326340
fd00::202:2:2:2,18,26,64,2232,1814,317,336840
fd00::202:2:2:2,18,26,74,2304,1544,373,347410
fd00::202:2:2:2,18,26,14,2376,1344,428,357910
fd00::202:2:2:2,18,26,24,2448,1214,474,368480
fd00::202:2:2:2,18,26,34,2520,594,969,378980
fd00::202:2:2:2,18,26,324,2592,1234,466,389550
fd00::202:2:2:2,18,26,54,2664,1384,416,401030
fd00::202:2:2:2,18,26,74,2748,704,954,410760
fd00::202:2:2:2,18,26,14,2820,644,894,421470
fd00::202:2:2:2,18,25,24,2892,584,986,431760
fd00::202:2:2:2,18,26,174,2964,2554,225,442680
fd00::202:2:2:2,18,26,44,3036,814,707,452690
fd00::202:2:2:2,18,26,54,3108,1384,416,463260
fd00::202:2:2:2,18,26,64,3180,834,690,473760
fd00::202:2:2:2,18,26,74,3252,1334,431,484330
fd00::202:2:2:2,18,26,14,3324,1414,407,494830
fd00::202:2:2:2,18,26,24,3396,1004,573,505400
fd00::202:2:2:2,18,26,33,3468,1223,470,515900
fd00::202:2:2:2,18,26,44,3540,1234,466,526400
fd00::202:2:2:2,18,26,54,3612,404,1425,536970
fd00::202:2:2:2,18,26,64,3684,1394,413,547470
fd00::202:2:2:2,18,26,74,3756,2104,273,558040
fd00::202:2:2:2,18,26,14,3828,2884,199,568540
fd00::202:2:2:2,18,26,94,3900,374,1540,579110
fd00::202:2:2:2,18,26,34,3972,1084,531,589610
fd00::202:2:2:2,18,26,54,4056,3204,209,603260
fd00::202:2:2:2,18,26,64,4128,2024,284,612080
fd00::202:2:2:2,18,26,74,4200,634,908,621320
fd00::202:2:2:2,18,26,14,4272,854,674,631750
fd00::202:2:2:2,18,26,24,4344,3594,160,643720
fd00::202:2:2:2,18,26,34,4416,524,1099,652820
fd00::202:2:2:2,18,26,44,4488,394,1461,663320
fd00::202:2:2:2,18,26,54,4560,1804,319,673890
fd00::202:2:2:2,18,26,64,4632,694,829,684390
fd00::202:2:2:2,18,26,74,4704,1054,546,694960
fd00::202:2:2:2,18,26,14,4776,2114,272,705460
fd00::202:2:2:2,18,26,24,4848,584,986,715960
fd00::202:2:2:2,18,26,34,4920,384,1500,726530
fd00::202:2:2:2,18,26,44,4992,464,1241,737170
fd00::202:2:2:2,18,26,54,5064,1384,416,747600
fd00::202:2:2:2,18,26,64,5136,2094,275,758100
fd00::202:2:2:2,18,26,284,5208,1754,328,768670
fd00::202:2:2:2,18,26,15,5280,995,578,779170
fd00::202:2:2:2,18,26,24,5352,2614,220,789670
fd00::202:2:2:2,18,26,44,5436,394,1705,800730
fd00::202:2:2:2,18,26,334,5508,3064,187,813120
fd00::202:2:2:2,18,26,134,5580,2024,284,822150
fd00::202:2:2:2,18,26,74,5652,1964,293,832090
fd00::202:2:2:2,18,26,14,5724,1764,326,842380
fd00::202:2:2:2,18,26,24,5796,1354,425,852880
fd00::202:2:2:2,18,26,34,5868,1364,422,863450
fd00::202:2:2:2,18,26,44,5940,814,707,873950
fd00::202:2:2:2,18,26,54,6012,964,597,884450
fd00::202:2:2:2,18,26,64,6084,904,637,895020
fd00::202:2:2:2,18,26,74,6156,774,744,905520
fd00::202:2:2:2,18,26,14,6228,364,1582,916090
fd00::202:2:2:2,18,26,24,6300,374,1540,926590
fd00::202:2:2:2,18,26,34,6372,3464,166,937160
fd00::202:2:2:2,18,26,44,6444,1374,419,947660
fd00::202:2:2:2,18,26,264,6516,1734,332,958440
fd00::202:2:2:2,18,26,64,6588,1744,330,968730
fd00::202:2:2:2,18,26,74,6660,1894,304,979230
fd00::202:2:2:2,18,26,14,6732,1624,354,989800
fd00::202:2:2:2,18,26,34,6816,3254,206,1003310
fd00::202:2:2:2,18,26,44,6888,604,953,1010870
fd00::202:2:2:2,18,26,54,6960,1244,463,1021370
fd00::202:2:2:2,18,26,64,7032,1534,375,1032080
fd00::202:2:2:2,18,26,74,7104,354,1627,1042440
fd00::202:2:2:2,18,26,14,7176,294,1959,1053010
fd00::202:2:2:2,18,26,24,7248,2124,271,1063510
fd00::202:2:2:2,18,26,34,7320,664,867,1074010
fd00::202:2:2:2,18,26,44,7392,1094,526,1084580
fd00::202:2:2:2,18,26,124,7464,404,1425,1095080
fd00::202:2:2:2,18,26,64,7536,1814,317,1105650
fd00::202:2:2:2,18,26,74,7608,354,1627,1116150
fd00::202:2:2:2,18,26,14,7680,1134,507,1126720
fd00::202:2:2:2,18,26,24,7752,864,666,1137220
fd00::202:2:2:2,18,26,104,7824,944,610,1147790
fd00::202:2:2:2,18,26,44,7896,1724,334,1158290
fd00::202:2:2:2,18,26,54,7968,1314,438,1168790
fd00::202:2:2:2,18,26,64,8040,1464,393,1179360
fd00::202:2:2:2,18,26,74,8112,844,682,1189860
fd00::202:2:2:2,18,26,24,8196,1144,587,1201900
fd00::202:2:2:2,18,26,34,8268,1644,350,1211910
fd00::202:2:2:2,18,26,44,8340,1304,441,1221500
fd00::202:2:2:2,18,26,54,8412,1804,319,1232350
fd00::202:2:2:2,18,26,64,8484,764,753,1242570
fd00::202:2:2:2,18,26,74,8556,1264,455,1253070
fd00::202:2:2:2,18,26,154,8628,364,1582,1263570
fd00::202:2:2:2,18,26,23,8700,863,667,1274140
fd00::202:2:2:2,18,26,34,8772,594,969,1284640
fd00::202:2:2:2,18,26,44,8844,884,651,1295210
fd00::202:2:2:2,18,26,54,8916,3064,187,1305710
fd00::202:2:2:2,18,26,64,8988,2514,229,1316280
fd00::202:2:2:2,18,26,74,9060,914,630,1326780
fd00::202:2:2:2,18,26,14,9132,2884,199,1337350
fd00::202:2:2:2,18,26,24,9204,2474,232,1347850
fd00::202:2:2:2,18,26,34,9276,1574,365,1358350
fd00::202:2:2:2,18,26,184,9348,534,1078,1368920
fd00::202:2:2:2,18,26,54,9420,1384,416,1379420
fd00::202:2:2:2,18,26,64,9492,2654,217,1389995
fd00::202:2:2:2,18,26,14,9576,504,1333,1401470
fd00::202:2:2:2,18,26,24,9648,1494,385,1411550
fd00::202:2:2:2,18,26,34,9720,944,610,1421560
fd00::202:2:2:2,18,26,45,9792,2005,287,1432410
fd00::202:2:2:2,18,26,54,9864,1454,396,1442630
fd00::202:2:2:2,18,26,204,9936,834,690,1453130
fd00::202:2:2:2,18,26,74,10008,354,1627,1463700
fd00::202:2:2:2,18,26,224,10080,434,1327,1474200
fd00::202:2:2:2,18,26,24,10152,934,616,1484770
fd00::202:2:2:2,18,26,34,10224,1364,422,1495270
fd00::202:2:2:2,18,26,44,10296,674,854,1505840
fd00::202:2:2:2,18,26,54,10368,334,1724,1516340
fd00::202:2:2:2,18,26,344,10440,1254,459,1526840
fd00::202:2:2:2,18,26,74,10512,704,818,1537410
fd00::202:2:2:2,18,26,14,10584,224,2571,1547910
fd00::202:2:2:2,18,26,24,10656,2334,246,1558480
fd00::202:2:2:2,18,26,34,10728,1994,288,1568980
fd00::202:2:2:2,18,26,44,10800,954,603,1579550
fd00::202:2:2:2,18,26,334,10872,1104,521,1591100
