node,cpu_mj,total_mj,latency_ms,volume_B,response_ms,throughput_bps
fd00::202:2:2:2,26.27,55.58,1525.83,6839.26,3784.27,3051.63
fd00::203:3:3:3,33.88,95.41,1938.17,5507.92,5208.51,3366.78
fd00::204:4:4:4,20.29,39.38,2981.75,4877.77,6252.22,3709.06
fd00::205:5:5:5,20.95,45.26,4439.43,4781.3,7949.75,3803.53
fd00::206:6:6:6,36.25,94.27,2790.66,5136.43,6176.1,3612.75
fd00::207:7:7:7,47.86,87.84,776.55,4856.27,2796.14,4051.95
fd00::208:8:8:8,20.07,48.1,1572.91,4669.41,3940.27,3925.43
fd00::209:9:9:9,41.63,116.23,149.79,3538.86,3201.19,1304182.01
fd00::20a:a:a:a,61.54,243.55,1065.12,2671.71,5288.75,8754.89
fd00::20b:b:b:b,64.56,489.56,2113.56,344.0,5745.89,53413.22
fd00::20d:d:d:d,46.83,322.08,2151.08,453.0,6071.17,40081.33
fd00::20e:e:e:e,324.12,1633.38,2301.12,672.0,10404.12,60217.38
fd00::210:10:10:10,126.17,597.17,4391.67,846.0,4091.83,160351.33
fd00::211:11:11:11,30.62,85.73,5359.22,3492.59,9479.7,23489.78
fd00::212:12:12:12,143.4,214.6,2793.4,955.2,3591.4,480672.6
fd00::213:13:13:13,180.09,670.45,4989.45,722.18,6298.55,131035.82
