node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,43.87,180.07,1.8178622793568426e+19,-82.77,203.47,1.34,18.06,0.01,0.01
fd00::203:3:3:3,150.84,1.827646643610608e+19,575.1,-87.46,215.16,0.94,19.12,36.93,55.14
fd00::204:4:4:4,226.48,323.41,2.2773758115690813e+17,-87.73,215.3,0.44,19.18,17.34,24.53
fd00::205:5:5:5,286.41,5.969646041346239e+18,446.68,-76.78,204.43,0.27,18.27,4.89,8.72
fd00::206:6:6:6,124.0,253.96,1.779759178959074e+19,-85.75,204.73,0.11,18.11,1.53,12.02
fd00::207:7:7:7,0.0,0.0,49.54,0.0,210.63,0.01,19.06,178.14,178.14
fd00::208:8:8:8,0.0,0.0,1.8446744073709552e+19,0.0,203.71,0.0,18.16,177.39,177.39
fd00::209:9:9:9,46.21,1.8392488944080994e+19,355.32,-89.71,204.88,1.61,18.06,0.0,0.04
fd00::20a:a:a:a,119.15,1.6167405007130497e+19,232.66,-90.74,200.66,1.11,18.16,0.02,12.7
fd00::20b:b:b:b,209.2,458.37,1.7783986801600227e+19,-93.72,210.01,0.25,19.23,22.84,40.89
fd00::20c:c:c:c,341.18,310.77,356.32,-50.71,199.37,0.02,18.29,12.03,19.18
fd00::20d:d:d:d,245.78,1.6789850893436238e+19,591.2,-42.87,210.05,0.07,19.23,29.36,35.41
fd00::20e:e:e:e,152.45,101.0,132.32,-61.87,1026.9,1.1,93.71,50.55,113.19
fd00::20f:f:f:f,341.57,407.24,215.88,-63.26,238.56,0.03,20.9,40.94,67.31
fd00::210:10:10:10,252.82,295.55,168.68,-47.77,1751.68,1.95,159.68,150.73,179.77
fd00::211:11:11:11,311.04,7.378697629483821e+18,549.4,-76.16,484.06,0.48,44.08,21.04,59.7
fd00::212:12:12:12,349.42,595.06,1.6769767339735956e+18,-49.7,1766.91,1.76,161.55,113.27,160.88
fd00::213:13:13:13,394.5,300.24,474.82,-80.56,1659.12,0.97,151.44,104.32,158.38
