node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r
fd00::202:2:2:2,1892.05,1525.83,1182.12,-82.54,27.91,1.4,26.27,1.07,20.37
fd00::203:3:3:3,2604.17,1938.17,2571.83,-87.41,60.13,1.4,33.88,3.22,6.05
fd00::204:4:4:4,3126.04,2981.75,2978.51,-87.34,18.71,0.39,20.29,0.43,0.88
fd00::205:5:5:5,3974.8,4439.43,3458.19,-76.4,24.26,0.04,20.95,0.67,1.42
fd00::206:6:6:6,3087.97,2790.66,2653.09,-67.38,57.04,0.98,36.25,1.55,6.49
fd00::207:7:7:7,1398.0,776.55,1123.33,-88.33,36.36,3.62,47.86,0.8,4.37
fd00::208:8:8:8,1970.06,1572.91,1732.05,-89.3,27.77,0.26,20.07,0.21,0.78
fd00::209:9:9:9,1600.5,149.79,1844.73,-88.93,74.2,0.39,41.63,14.63,47.36
fd00::20a:a:a:a,2644.25,1065.12,2704.82,-89.07,181.09,0.93,61.54,16.95,61.09
fd00::20b:b:b:b,2872.89,2113.56,3420.56,-83.56,425.0,0.0,64.56,0.33,0.33
fd00::20d:d:d:d,3035.42,2151.08,3542.0,-39.42,275.25,0.0,46.83,0.25,0.25
fd00::20e:e:e:e,5201.88,2301.12,8821.75,-57.5,1307.12,2.12,324.12,34.75,50.75
fd00::210:10:10:10,2045.67,4391.67,2816.0,-41.83,470.0,1.0,126.17,47.5,74.67
fd00::211:11:11:11,4739.76,5359.22,4547.55,-79.63,54.98,0.13,30.62,9.63,23.0
fd00::212:12:12:12,1795.6,2793.4,10289.0,-52.2,69.8,1.4,143.4,15.4,55.0
fd00::213:13:13:13,3149.09,4989.45,3508.18,-68.0,489.27,1.09,180.09,30.18,44.0
