node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops
fd00::202:2:2:2,1589.94,901.68,960.75,-82.76,7.54,0.93,18.06,0.26,1.96,0.0
fd00::203:3:3:3,2925.53,2034.8,3313.93,-60.83,9.2,0.24,18.27,0.9,13.06,1.93
fd00::204:4:4:4,4082.94,3467.55,4127.79,-87.72,10.47,0.2,19.96,3.59,16.25,2.93
fd00::205:5:5:5,6541.68,7170.3,6436.06,-75.65,29.53,0.04,22.57,22.43,44.51,4.01
fd00::206:6:6:6,3686.68,4223.29,3063.42,-85.73,9.78,1.07,19.31,3.63,11.7,1.0
fd00::207:7:7:7,1298.01,994.73,710.71,-88.68,26.0,0.15,21.98,35.86,67.55,0.0
fd00::208:8:8:8,2093.3,2267.21,1295.82,-89.67,36.29,0.42,22.99,61.75,73.06,1.0
fd00::209:9:9:9,1288.72,189.77,938.78,-89.62,18.87,0.25,25.92,1.81,51.11,0.0
fd00::20a:a:a:a,2157.27,928.37,2904.17,-89.12,73.09,0.5,54.15,4.34,56.57,1.05
fd00::20b:b:b:b,5580.73,2822.33,9118.6,-81.47,284.13,0.53,64.13,5.07,12.73,2.0
fd00::20d:d:d:d,4545.65,1343.29,6673.18,-37.65,223.76,0.76,83.29,5.65,20.59,2.0
fd00::20e:e:e:e,2815.67,3735.19,4376.33,-66.29,381.76,3.14,267.05,76.57,130.05,1.29
fd00::20f:f:f:f,3977.5,3288.5,7753.67,-57.5,219.17,0.0,40.17,1.0,1.17,3.0
fd00::210:10:10:10,2859.42,5491.0,2622.0,-28.75,219.08,4.17,309.75,125.33,148.0,2.17
fd00::211:11:11:11,7062.71,6736.95,7187.76,-79.72,32.13,0.16,32.78,44.55,73.5,4.01
fd00::212:12:12:12,1721.81,4173.69,1871.5,-51.62,871.62,3.56,330.31,102.5,166.75,2.0
fd00::213:13:13:13,8224.67,5996.0,23811.33,-55.33,1740.33,3.0,543.67,37.0,52.33,5.0
