node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,throughput1,throughput2
fd00::202:2:2:2,31.61,171.75,1.839280622554081e+19,-63.81,202.55,2.15,18.06,0.0,1.13
fd00::203:3:3:3,115.06,1.8389633410942648e+19,576.11,-78.76,215.7,1.01,19.18,35.13,53.46
fd00::204:4:4:4,185.41,260.04,2.2986596976585117e+17,-54.83,215.8,0.66,19.25,8.17,32.77
fd00::205:5:5:5,267.16,7.767050136298758e+18,449.85,-78.77,205.01,0.04,18.32,22.37,27.58
fd00::206:6:6:6,334.38,614.8,7.913544055289601e+18,-73.78,207.6,0.0,18.39,9.57,11.19
fd00::207:7:7:7,87.38,70.04,78.08,-89.73,211.17,0.77,19.17,0.01,12.14
fd00::208:8:8:8,199.73,571.08,1.8339806426905438e+19,-57.66,203.92,0.25,18.27,53.64,70.45
fd00::209:9:9:9,291.85,2.4374076253550157e+18,438.69,-76.77,210.35,0.02,18.4,41.53,46.12
fd00::20a:a:a:a,352.68,370.3,317.67,-65.0,205.46,0.0,18.43,17.95,18.68
fd00::20b:b:b:b,404.51,823.42,1.4509938936027636e+19,-69.0,213.73,0.0,19.52,32.18,34.12
